customer_id,gender,age,contract_type,monthly_charges,total_charges,churn_status
1,Female,46,Two Year,92.81,4993.89,Not Churned
2,Male,44,One Year,33.45,2581.25,Churned
3,Female,41,One Year,96.19,2941.93,Not Churned
4,Female,64,Month-to-Month,82.15,3279.27,Not Churned
5,Male,32,One Year,66.99,1464.57,Not Churned
6,Male,53,Two Year,81.62,4366.87,Not Churned
7,Female,24,One Year,58.49,1136.04,Not Churned
8,Male,44,Two Year,65.72,1438.44,Not Churned
9,Female,51,Month-to-Month,95.99,2724.42,Churned
10,Female,18,Month-to-Month,97.98,4127.92,Not Churned
11,Female,54,Month-to-Month,34.53,2432.71,Churned
12,Male,31,Month-to-Month,38.66,1533.8,Not Churned
13,Male,51,One Year,30.16,1973.95,Churned
14,Female,18,Month-to-Month,35.57,4077.42,Not Churned
15,Female,27,One Year,72.2,2607.19,Not Churned
16,Female,62,One Year,55.52,843.34,Churned
17,Male,61,Two Year,43.29,1651.86,Churned
18,Male,54,One Year,78.83,2948.92,Not Churned
19,Female,41,Month-to-Month,74.87,3492.26,Not Churned
20,Male,52,One Year,84.03,1525.13,Not Churned
21,Male,19,Month-to-Month,71.48,1331.62,Churned
22,Male,58,Two Year,92.11,3104.53,Not Churned
23,Male,38,Two Year,57.48,831.22,Churned
24,Female,49,Month-to-Month,57.6,3107.21,Churned
25,Male,60,One Year,72.0,1191.44,Not Churned
26,Male,47,Two Year,46.21,1014.42,Churned
27,Male,20,One Year,92.22,2376.13,Not Churned
28,Female,29,Month-to-Month,36.05,1984.97,Not Churned
29,Male,18,One Year,69.09,4384.34,Churned
30,Female,29,Two Year,72.59,1132.87,Not Churned
31,Male,32,Month-to-Month,39.51,598.48,Not Churned
32,Male,47,One Year,76.89,3127.48,Churned
33,Male,43,Month-to-Month,41.63,3596.7,Churned
34,Male,39,One Year,34.85,2602.94,Not Churned
35,Male,30,Two Year,90.98,2044.46,Churned
36,Male,45,One Year,72.79,2872.14,Churned
37,Male,56,Two Year,38.85,1515.64,Not Churned
38,Female,42,One Year,47.19,3947.04,Churned
39,Female,58,Two Year,70.67,3835.18,Not Churned
40,Male,34,One Year,65.13,3209.69,Churned
41,Female,35,Month-to-Month,96.03,3815.19,Not Churned
42,Female,70,One Year,98.48,3432.86,Not Churned
43,Female,46,Month-to-Month,36.33,4809.5,Churned
44,Female,29,Two Year,41.29,4977.23,Not Churned
45,Male,64,One Year,57.02,1063.38,Not Churned
46,Male,20,One Year,84.18,3433.98,Not Churned
47,Male,47,One Year,95.83,4055.18,Not Churned
48,Female,25,One Year,95.6,882.69,Not Churned
49,Female,57,Two Year,75.89,770.13,Not Churned
50,Male,29,Two Year,48.44,4328.63,Not Churned
51,Male,48,One Year,67.32,2083.21,Churned
52,Male,52,Month-to-Month,37.68,2425.79,Not Churned
53,Male,18,One Year,33.34,3216.31,Churned
54,Male,47,Month-to-Month,61.89,563.4,Churned
55,Female,46,Month-to-Month,66.68,2072.53,Churned
56,Female,53,One Year,58.2,3451.95,Churned
57,Female,65,Two Year,58.43,620.2,Churned
58,Male,52,Month-to-Month,66.53,2412.05,Not Churned
59,Female,40,Month-to-Month,87.21,1809.1,Churned
60,Male,23,Month-to-Month,37.18,3272.4,Churned
61,Male,32,One Year,54.49,642.4,Not Churned
62,Female,37,One Year,96.55,693.11,Not Churned
63,Male,54,Two Year,47.64,4460.2,Churned
64,Male,44,Two Year,75.2,2543.49,Not Churned
65,Male,69,One Year,59.35,889.12,Churned
66,Female,63,Month-to-Month,65.17,3995.07,Not Churned
67,Female,48,Month-to-Month,76.72,2357.68,Not Churned
68,Female,64,Two Year,94.89,3296.85,Not Churned
69,Male,44,Month-to-Month,52.37,3420.07,Not Churned
70,Male,41,Month-to-Month,30.77,4545.7,Not Churned
71,Male,45,Month-to-Month,60.25,3008.96,Not Churned
72,Male,60,Month-to-Month,51.68,4527.07,Churned
73,Female,22,Month-to-Month,96.42,3430.38,Churned
74,Female,39,Month-to-Month,99.2,1621.14,Not Churned
75,Female,49,Month-to-Month,37.54,3073.02,Churned
76,Male,57,Month-to-Month,87.21,2507.36,Churned
77,Female,36,Two Year,73.02,1968.58,Churned
78,Male,54,Two Year,45.95,3739.32,Churned
79,Female,27,Two Year,93.65,3708.74,Not Churned
80,Female,40,Two Year,39.37,2087.93,Not Churned
81,Female,27,Two Year,76.81,3424.63,Not Churned
82,Male,41,One Year,88.63,3632.34,Churned
83,Male,27,One Year,99.0,3268.04,Churned
84,Male,32,Month-to-Month,79.09,2448.07,Churned
85,Female,18,One Year,64.21,3874.95,Not Churned
86,Female,66,Month-to-Month,74.0,2086.06,Churned
87,Male,62,Month-to-Month,98.61,2339.39,Churned
88,Female,39,One Year,70.03,3876.75,Churned
89,Female,30,Two Year,88.13,4399.66,Not Churned
90,Male,49,Month-to-Month,31.43,1697.71,Churned
91,Male,67,Two Year,90.78,3542.73,Not Churned
92,Male,30,Month-to-Month,78.31,3373.93,Not Churned
93,Male,48,One Year,78.71,4576.53,Churned
94,Female,48,One Year,51.6,2428.48,Not Churned
95,Male,67,Two Year,66.44,3797.23,Not Churned
96,Male,39,One Year,90.08,2980.69,Churned
97,Female,34,One Year,39.61,2016.39,Churned
98,Male,21,Month-to-Month,93.25,3164.75,Churned
99,Female,24,Month-to-Month,46.3,1644.03,Churned
100,Male,26,Month-to-Month,33.1,2195.25,Not Churned
101,Male,64,One Year,53.0,2758.21,Not Churned
102,Female,34,Two Year,79.98,1923.15,Churned
103,Male,67,Month-to-Month,47.29,4536.26,Not Churned
104,Male,45,Two Year,33.34,3925.99,Not Churned
105,Female,60,Two Year,55.76,1718.38,Churned
106,Male,54,One Year,55.42,2219.31,Churned
107,Male,60,One Year,44.07,1415.12,Churned
108,Female,36,Month-to-Month,37.62,2168.66,Churned
109,Female,28,Month-to-Month,61.26,1550.67,Churned
110,Male,61,Two Year,79.0,2320.88,Not Churned
